Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
01/22/24,Monday,62.21,breakfast,Food,Credit,Want
01/22/24,Monday,40.00,lunch,Food,Credit,Want
01/24/2024,Wednesday,3.00,Snack,Food,Credit,Want
1/24/24,Wednesday,44.36,Cloths ,Housing,Credit,Want
01/25/24,Thursday,21.50,snacks,Food,Credit,Want
01/25/24,Thursday,25.50,tacos,Food,Credit,Want
01/26/24,Friday,9.25,amazon,Housing,Credit,Want
01/26/24,Friday,25.50,tacos,Food,Credit,Want
01/26/24,Friday,40.00,Phone bill,Bills,Credit,Need
01/29/24,Monday,6.00,bread,Food,Credit,Want
01/29/24,Monday,16.47,flowers,Housing,Credit,Want
01/30/24,Tuesday,5.65,snacks,Food,Credit,Want
01/30/24,Tuesday,26.25,Meat,Food,Credit,Want
01/31/24,Wednesday,3.60,snacks,Food,Credit,Want
01/31/24,Wednesday,2.15,snacks,Food,Credit,Want
01/31/24,Wednesday,5.78,snacks,Food,Credit,Want
01/31/24,Wednesday,40.00,Choclate strawberrys,Food,Credit,Want
02/01/24,Thursday,20.00,haircut,Entertainment and Recreation,Credit,Want
02/02/24,Friday,7.37,snacks,Food,Credit,Want
02/02/24,Friday,6.45,snacks,Food,Credit,Want
02/02/24,Friday,9.99,Ps4 game,Entertainment and Recreation,Credit,Want